label,fusion_score,face_conf,voice_conf,gesture_conf
genuine,0.843,0.82,0.8,0.92
genuine,0.8506,0.811,0.805,0.95
genuine,0.8439500000000001,0.793,0.804,0.95
genuine,0.83555,0.793,0.78,0.95
genuine,0.8320500000000001,0.779,0.784,0.95
genuine,0.8454999999999999,0.787,0.823,0.94
genuine,0.8548,0.778,0.85,0.95
genuine,0.84675,0.772,0.833,0.95
genuine,0.85675,0.779,0.846,0.96
genuine,0.8512500000000001,0.786,0.849,0.93
genuine,0.855,0.805,0.815,0.96
genuine,0.84255,0.781,0.812,0.95
genuine,0.84565,0.785,0.834,0.93
genuine,0.8447499999999999,0.794,0.831,0.92
genuine,0.866,0.813,0.847,0.95
genuine,0.856,0.81,0.83,0.94
genuine,0.8691,0.819,0.867,0.93
genuine,0.8544,0.805,0.839,0.93
genuine,0.8628,0.813,0.855,0.93
genuine,0.8453000000000002,0.799,0.819,0.93
genuine,0.8505,0.803,0.847,0.91
genuine,0.8431500000000001,0.794,0.835,0.91
genuine,0.83165,0.789,0.79,0.93
genuine,0.8497,0.789,0.833,0.94
genuine,0.8484500000000001,0.807,0.82,0.93
genuine,0.8257000000000001,0.782,0.78,0.93
genuine,0.8351500000000001,0.804,0.785,0.93
genuine,0.8285,0.797,0.773,0.93
genuine,0.8411000000000002,0.805,0.801,0.93
genuine,0.82275,0.808,0.737,0.94
genuine,0.8140000000000001,0.802,0.718,0.94
genuine,0.8299000000000001,0.793,0.781,0.93
genuine,0.84145,0.8,0.807,0.93
genuine,0.8371,0.788,0.798,0.94
genuine,0.8278000000000001,0.775,0.793,0.93
genuine,0.8127500000000001,0.786,0.739,0.93
genuine,0.79575,0.794,0.691,0.92
genuine,0.81305,0.776,0.767,0.91
genuine,0.84985,0.806,0.825,0.93
genuine,0.81645,0.789,0.738,0.94
genuine,0.83005,0.798,0.785,0.92
genuine,0.83605,0.808,0.775,0.94
genuine,0.8231,0.806,0.74,0.94
genuine,0.8250000000000002,0.794,0.766,0.93
genuine,0.8141500000000002,0.787,0.742,0.93
genuine,0.8001500000000001,0.783,0.706,0.93
genuine,0.8146500000000001,0.783,0.756,0.92
genuine,0.78525,0.788,0.667,0.92
genuine,0.8307500000000001,0.794,0.791,0.92
genuine,0.8206,0.793,0.763,0.92
genuine,0.8182500000000001,0.736,0.839,0.89
genuine,0.7574000000000001,0.782,0.782,0.7
genuine,0.8405,0.777,0.793,0.97
genuine,0.8373,0.741,0.837,0.95
genuine,0.84115,0.731,0.858,0.95
