face_conf_raw,voice_conf_raw,gesture_conf_raw,fusion_new,ground_truth
0.82,0.8,0.92,0.838,genuine
0.811,0.805,0.95,0.84365,genuine
0.793,0.804,0.95,0.8361000000000001,genuine
0.793,0.78,0.95,0.8277000000000001,genuine
0.779,0.784,0.95,0.8235000000000001,genuine
0.787,0.823,0.94,0.83785,genuine
0.778,0.85,0.95,0.8462000000000001,genuine
0.772,0.833,0.95,0.83785,genuine
0.779,0.846,0.96,0.8477,genuine
0.786,0.849,0.93,0.8440500000000001,genuine
0.805,0.815,0.96,0.8472500000000001,genuine
0.781,0.812,0.95,0.8341000000000001,genuine
0.785,0.834,0.93,0.8384000000000001,genuine
0.794,0.831,0.92,0.8384499999999999,genuine
0.813,0.847,0.95,0.8591500000000001,genuine
0.81,0.83,0.94,0.8495,genuine
0.819,0.867,0.93,0.86355,genuine
0.805,0.839,0.93,0.8481500000000001,genuine
0.813,0.855,0.93,0.85695,genuine
0.799,0.819,0.93,0.83875,genuine
0.803,0.847,0.91,0.8451500000000001,genuine
0.794,0.835,0.91,0.83735,genuine
0.789,0.79,0.93,0.8246000000000001,genuine
0.789,0.833,0.94,0.8421500000000001,genuine
0.807,0.82,0.93,0.8423,genuine
0.782,0.78,0.93,0.8183,genuine
0.804,0.785,0.93,0.8288500000000001,genuine
0.797,0.773,0.93,0.8218500000000001,genuine
0.805,0.801,0.93,0.8348500000000001,genuine
0.808,0.737,0.94,0.81615,genuine
0.802,0.718,0.94,0.8071,genuine
0.793,0.781,0.93,0.8230500000000001,genuine
0.8,0.807,0.93,0.8349500000000001,genuine
0.788,0.798,0.94,0.8295,genuine
0.775,0.793,0.93,0.8200500000000001,genuine
0.786,0.739,0.93,0.8055500000000001,genuine
0.794,0.691,0.92,0.78945,genuine
0.776,0.767,0.91,0.80635,genuine
0.806,0.825,0.93,0.84365,genuine
0.789,0.738,0.94,0.8089000000000001,genuine
0.798,0.785,0.92,0.82395,genuine
0.808,0.775,0.94,0.82945,genuine
0.806,0.74,0.94,0.8164,genuine
0.794,0.766,0.93,0.8182000000000001,genuine
0.787,0.742,0.93,0.807,genuine
0.783,0.706,0.93,0.7928000000000001,genuine
0.783,0.756,0.92,0.8078000000000001,genuine
0.788,0.667,0.92,0.7786500000000001,genuine
0.794,0.791,0.92,0.82445,genuine
0.793,0.763,0.92,0.81425,genuine
0.736,0.839,0.89,0.81055,genuine
0.782,0.782,0.7,0.7615000000000001,genuine
0.777,0.793,0.97,0.8308500000000001,genuine
0.741,0.837,0.95,0.8268500000000001,genuine
0.731,0.858,0.95,0.8302,genuine
0.76,0.82,0.88,0.8109999999999999,genuine
0.727,0.855,0.94,0.82505,genuine
0.809,0.85,0.94,0.8561,genuine
0.762,0.855,0.93,0.83655,genuine
0.777,0.808,0.93,0.8261000000000001,genuine
0.743,0.815,0.9,0.8074499999999999,genuine
0.784,0.748,0.94,0.8104,genuine
0.796,0.712,0.96,0.8076,genuine
0.787,0.815,0.93,0.83255,genuine
0.777,0.776,0.83,0.7899,genuine
0.785,0.728,0.81,0.7713,genuine
0.768,0.782,0.94,0.8159,genuine
0.788,0.833,0.96,0.84675,genuine
0.718,0.847,0.91,0.81115,genuine
0.674,0.751,0.97,0.77495,genuine
0.7,0.762,0.83,0.7542,genuine
